0.85,7.6883
0.66,7.2677
1.68,5.3784
0.94,4.3954
0.72,4.792
1.46,3.1028
0.92,4.9229
3.08,3.3147
7.8,3.2527
0.94,3.6006
0.91,2.9741
0.64,3.3947
1.4,3.5719
1.06,3.108
2.86,1.5232
10.07,1.8908
0.92,0.94022
10.37,1.4353
2.47,2.6098
2.53,1.7888
1.6,2.3675
0.98,2.9474
0.75,1.5153
2.85,0.7659
1.49,0.98019
1.15,1.075
0.71,0.70594
1.11,1.5261
7.11,2.6637
2.07,1.3307
1.21,1.1231
0.75,1.3236
0.72,0.72276
2.5,1.4484
3.47,0.39393
1.65,0.71545
7.94,0.92529
0.8,0.98318
1.19,0.64265
0.62,0.59079
0.75,1.5529
1.19,0.95296
0.7,0.99316
1.05,1.6387
1.16,0.81084
18.6,1.5687
2.68,1.4057
7.21,0.75355
2.69,0.98259
6.9,1.1501
10.13,1.4305
1.17,0.81453
10.41,1.0871
0.89,1.0367
1.85,1.396
1.02,2.2778
2.39,1.0903
1.06,0.98595
2.02,2.009
2.44,1.0889
3.54,1.3648
1.27,1.3427
0.94,1.1445
0.64,0.73846
2.54,0.72562
3,1.8819
21.56,1.3121
1.13,0.72574
0.85,0.74872
3.11,1.1661
1.77,0.71702
0.96,0.86228
3.77,0.65509
2.05,0.50124
0.73,1.6513
0.54,0.98488
2.33,1.1402
1.41,0.35645
7.01,0.60936
7.93,0.40052
1.24,0.89294
1.92,0.52846
1.65,0.84381
0.91,0.62983
1.08,0.81983
3.01,0.50178
4.9,0.51549
1.22,0.75912
0.84,0.85773
1.24,0.75023
1.95,0.66908
1.91,0.7183
0.64,0.70651
1.16,0.7697
3.43,0.31843
1.8,1.1539
3.14,0.45303
1.24,0.36993
0.92,0.40672
1.02,0.44182
1.9,0.8894
0.88,0.43223
1.81,0.33944
2.31,1.4479
0.99,2.3122
3.26,1.3384
1.73,0.81176
0.93,0.78341
0.71,0.60273
1.11,0.60914
0.67,0.63085
21.05,0.5378
1.81,0.82065
1.33,1.8462
1.53,0.95472
1.36,0.68878
0.87,0.69927
1.82,0.93308
1.4,1.2286
1.22,1.2853
1.13,1.1806
1.06,0.99558
1.02,0.95505
1.31,0.70915
11.18,0.67485
7.06,0.7153
1.79,0.70789
0.87,0.7287
0.6,0.62623
10.56,0.55738
1.4,1.1903
1.23,0.5697
3.08,0.33657
0.92,0.56563
21.8,0.44513
2.61,0.5663
0.78,0.53941
0.9,0.77213
4.19,1.109
1.16,0.96203
1.25,0.81091
0.91,1.4079
3.54,0.67779
1.02,0.58054
0.64,0.68461
1.54,0.93843
1.66,0.65025
3.09,0.53224
6.69,0.61613
2.37,0.57793
1.11,0.62943
1.58,0.32886
2.02,0.35571
20.97,0.34149
2.48,0.39991
0.66,0.44725
1.39,0.35538
0.83,0.45632
1.2,0.41292
2.52,0.43582
1.02,0.36537
1.29,1.7891
2.11,1.6058
0.89,0.8836
2.47,0.7768
2.22,0.60068
0.68,0.61131
0.63,0.65157
3.03,1.7778
2.13,0.82703
1.39,0.6786
2.63,0.58659
1.71,0.5773
1.34,0.582
1.02,0.74324
4.15,0.77995
1.37,0.74415
2.4,1.3539
2.67,1.339
